State_Name,Season,Avg_Temperature,Avg_Humidity,Total_Rainfall
ANDAMAN AND NICOBAR ISLANDS,Autumn,28.236875,77.9128125,2636.2453125
ANDAMAN AND NICOBAR ISLANDS,Kharif,27.921333333333333,79.28133333333334,2498.494
ANDAMAN AND NICOBAR ISLANDS,Rabi,28.238387096774193,77.8825806451613,2623.483548387097
ANDAMAN AND NICOBAR ISLANDS,Summer,28.06625,78.4475,2839.8075
ANDAMAN AND NICOBAR ISLANDS,Whole Year,28.133125000000003,78.35708333333334,2590.9270833333335
ANDHRA PRADESH,Kharif,28.156521739130433,67.56521739130434,850.6408695652174
ANDHRA PRADESH,Rabi,28.156521739130433,67.56521739130434,850.6408695652174
ANDHRA PRADESH,Whole Year,28.15477192982456,67.54175438596492,840.5183157894737
ARUNACHAL PRADESH,Kharif,20.575108695652172,75.82615217391304,2616.775
ARUNACHAL PRADESH,Rabi,20.584538258575197,75.71345646437995,2611.747836411609
ARUNACHAL PRADESH,Whole Year,20.612780269058295,75.92008968609865,2630.6572869955153
ASSAM,Autumn,24.203310696095077,73.52933786078098,1402.3409507640067
ASSAM,Kharif,24.203310696095077,73.52933786078098,1402.3409507640067
ASSAM,Rabi,24.204991596638653,73.55183193277311,1403.5610084033615
ASSAM,Summer,24.202266435986157,73.48761245674741,1400.904965397924
ASSAM,Whole Year,24.204713804713805,73.54811447811448,1403.359377104377
ASSAM,Winter,24.203310696095077,73.52933786078098,1402.3409507640067
BIHAR,Autumn,25.923877005347595,57.72886363636364,1015.0168048128342
BIHAR,Kharif,25.91786374133949,57.76100461893764,1012.3916974595843
BIHAR,Rabi,25.91843137254902,57.755582468281425,1012.0507497116494
BIHAR,Summer,25.923192982456143,57.714654970760236,1010.7661169590643
BIHAR,Whole Year,25.918267515923567,57.68575796178344,1004.881847133758
BIHAR,Winter,25.929457671957675,58.15919312169312,1015.1787301587301
CHANDIGARH,Kharif,24.297727272727272,46.2640909090909,1009.3545454545455
CHANDIGARH,Rabi,24.297727272727272,46.2640909090909,1009.3545454545455
CHANDIGARH,Whole Year,24.367222222222225,45.30222222222222,973.0377777777778
CHHATTISGARGH,Kharif,25.655,54.5,1187.97
CHHATTISGARGH,Rabi,25.655,54.5,1187.97
CHHATTISGARGH,Whole Year,25.655,54.5,1187.97
CHHATTISGARH,Kharif,26.213922413793103,58.67407327586207,1269.274525862069
CHHATTISGARH,Rabi,26.213796095444685,58.66754880694143,1269.3888937093277
CHHATTISGARH,Summer,25.85,63.2,1643.6
CHHATTISGARH,Whole Year,26.22909691629956,58.69949339207049,1267.1048237885461
DADRA AND NAGAR HAVELI,Kharif,26.612380952380953,62.30380952380952,2191.752380952381
DADRA AND NAGAR HAVELI,Rabi,26.593333333333334,62.32111111111111,2154.686111111111
DADRA AND NAGAR HAVELI,Winter,26.591052631578947,62.59631578947368,2195.4605263157896
DAMAN AND DIU,Kharif,26.888148148148147,61.44481481481481,1878.1540740740743
DELHI,Kharif,25.811363636363637,42.46818181818182,627.6663636363636
DELHI,Rabi,25.811363636363637,42.46818181818182,627.6663636363636
DELHI,Whole Year,25.851176470588236,42.20529411764706,621.6158823529412
